date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,6.64,6.71,6.71,6.62,33291.9,0.09,1.36,6.638,6.572,6.721,37610.8,39515.69,39508.29,0.21
2020-02-21,6.71,6.8,6.77,6.7,42959.45,0.06,0.89,6.692,6.607,6.696,40249.4,39276.61,39725.11,0.28
2020-02-24,6.75,6.79,6.71,6.67,45536.59,-0.06,-0.89,6.704,6.626,6.667,39017.86,38730.57,40674.73,0.29
2020-02-25,6.63,6.63,6.57,6.4,56418.13,-0.14,-2.09,6.676,6.629,6.63,42547.28,40387.7,41792.69,0.36
2020-02-26,6.53,6.7,6.6,6.44,52898.01,0.03,0.46,6.672,6.634,6.598,46220.82,42093.47,42607.97,0.34
2020-02-27,6.6,6.73,6.62,6.57,28096.9,0.02,0.3,6.654,6.646,6.569,45181.82,41396.31,42592.26,0.18
2020-02-28,6.55,6.55,6.4,6.35,49784.86,-0.22,-3.32,6.58,6.636,6.536,46546.9,43398.15,43192.56,0.32
2020-03-02,6.4,6.56,6.54,6.4,34370.04,0.14,2.19,6.546,6.625,6.546,44313.59,41665.72,42473.26,0.22
2020-03-03,6.6,6.81,6.65,6.58,60991.46,0.11,1.68,6.562,6.619,6.566,45228.25,43887.77,42577.53,0.39
2020-03-04,6.62,6.85,6.83,6.6,93541.03,0.18,2.71,6.608,6.64,6.591,53356.86,49788.84,45033.52,0.6
2020-03-05,6.87,6.9,6.84,6.73,95343.74,0.01,0.15,6.652,6.653,6.613,66806.23,55994.02,47754.86,0.61
2020-03-06,6.77,6.95,6.8,6.7,63779.25,-0.04,-0.58,6.732,6.656,6.632,69605.1,58076.0,48676.3,0.41
2020-03-09,6.65,6.73,6.56,6.56,53955.84,-0.24,-3.53,6.736,6.641,6.634,73522.26,58917.93,48824.25,0.35
2020-03-10,6.41,6.68,6.68,6.41,42956.46,0.12,1.83,6.742,6.652,6.641,69915.26,57571.76,48979.73,0.28
2020-03-11,6.69,6.77,6.65,6.64,42043.0,-0.03,-0.45,6.706,6.657,6.646,59615.66,56486.26,49289.86,0.27
2020-03-12,6.58,6.63,6.56,6.51,37917.0,-0.09,-1.35,6.65,6.651,6.649,48130.31,57468.27,49432.29,0.24
2020-03-13,6.42,6.54,6.44,6.29,46593.0,-0.12,-1.83,6.578,6.655,6.646,44693.06,57149.08,50273.61,0.3
2020-03-16,6.49,6.61,6.42,6.34,41777.53,-0.02,-0.31,6.55,6.643,6.634,42257.4,57889.83,49777.78,0.27
2020-03-17,6.39,6.48,6.45,6.25,38630.78,0.03,0.47,6.504,6.623,6.621,41392.26,55653.76,49770.77,0.25
2020-03-18,6.46,6.48,6.33,6.32,31189.23,-0.12,-1.86,6.44,6.573,6.607,39221.51,49418.58,49603.71,0.2
2020-03-19,6.32,6.37,6.33,6.22,27756.11,0.0,0.0,6.394,6.522,6.588,37189.33,42659.82,49326.92,0.18
2020-03-20,6.35,6.44,6.42,6.31,24769.45,0.09,1.42,6.39,6.484,6.57,32824.62,38758.84,48417.42,0.16
2020-03-23,6.32,6.47,6.38,6.25,30308.67,-0.04,-0.62,6.382,6.466,6.554,30530.85,36394.12,47656.02,0.19
2020-03-24,6.38,6.5,6.46,6.36,22687.02,0.08,1.25,6.384,6.444,6.548,27342.1,34367.18,45969.47,0.15
2020-03-25,6.53,6.55,6.48,6.43,29743.09,0.02,0.31,6.414,6.427,6.542,27052.87,33137.19,44811.72,0.19
2020-03-26,6.45,6.45,6.38,6.36,23969.6,-0.1,-1.54,6.424,6.409,6.53,26295.57,31742.45,44605.36,0.15
2020-03-27,6.42,6.46,6.41,6.38,20028.0,0.03,0.47,6.422,6.406,6.531,25347.28,29085.95,43117.52,0.13
2020-03-30,6.37,6.37,6.32,6.27,19234.96,-0.09,-1.4,6.41,6.396,6.52,23132.53,26831.69,42360.76,0.12
2020-03-31,6.34,6.4,6.34,6.29,19573.0,0.02,0.32,6.386,6.385,6.504,22509.73,24925.91,40289.84,0.13
2020-04-01,6.34,6.39,6.3,6.28,16388.34,-0.04,-0.63,6.35,6.382,6.478,19838.78,23445.82,36432.2,0.11
2020-04-02,6.29,6.39,6.39,6.26,24821.39,0.09,1.43,6.352,6.388,6.455,20009.14,23152.35,32906.09,0.16
2020-04-03,6.44,6.51,6.41,6.37,21499.0,0.02,0.31,6.352,6.387,6.436,20303.34,22825.31,30792.07,0.14
2020-04-07,6.46,6.49,6.45,6.41,37440.93,0.04,0.62,6.378,6.394,6.43,23944.53,23538.53,29966.33,0.24
2020-04-08,6.44,6.46,6.4,6.39,24793.7,-0.05,-0.78,6.39,6.388,6.416,24988.67,23749.2,29058.19,0.16
2020-04-09,6.43,6.47,6.4,6.4,18010.0,0.0,0.0,6.41,6.38,6.404,25313.0,22575.89,27856.54,0.12
2020-04-10,6.42,6.44,6.38,6.32,29703.0,-0.02,-0.31,6.408,6.38,6.395,26289.33,23149.23,27445.84,0.19
2020-04-13,6.34,6.43,6.29,6.28,25427.0,-0.09,-1.41,6.384,6.368,6.387,27074.93,23689.13,26387.54,0.16
2020-04-14,6.34,6.35,6.33,6.29,19126.0,0.04,0.64,6.36,6.369,6.383,23411.94,23678.24,25254.96,0.12
2020-04-15,6.36,6.52,6.4,6.34,45086.22,0.07,1.11,6.36,6.375,6.38,27470.44,26229.56,25577.74,0.29
2020-04-16,6.34,6.39,6.38,6.32,22813.16,-0.02,-0.31,6.356,6.383,6.383,28431.08,26872.04,25158.93,0.15
2020-04-17,6.4,6.4,6.35,6.34,21616.08,-0.03,-0.47,6.35,6.379,6.384,26813.69,26551.51,24851.93,0.14
2020-04-20,6.3,6.41,6.4,6.3,22105.72,0.05,0.79,6.372,6.378,6.383,26149.44,26612.18,24718.74,0.14
2020-04-21,6.42,6.49,6.39,6.35,27236.15,-0.01,-0.16,6.384,6.372,6.383,27771.47,25591.7,24565.12,0.18
2020-04-22,6.33,6.48,6.47,6.33,32798.86,0.08,1.25,6.398,6.379,6.384,25313.99,26392.22,25070.71,0.21
2020-04-23,6.5,6.5,6.45,6.41,21013.25,-0.02,-0.31,6.412,6.384,6.382,24954.01,26692.54,24634.22,0.14
2020-04-24,6.5,6.57,6.48,6.44,40957.13,0.03,0.47,6.438,6.394,6.387,28822.22,27817.96,25483.59,0.26
2020-04-27,6.48,6.63,6.59,6.48,42729.66,0.11,1.7,6.476,6.424,6.396,32947.01,29548.22,26618.68,0.27
2020-04-28,6.59,6.64,6.59,6.47,35336.17,0.0,0.0,6.516,6.45,6.41,34567.01,31169.24,27423.74,0.23
2020-04-29,6.59,6.67,6.67,6.56,28985.46,0.08,1.21,6.556,6.477,6.426,33804.33,29559.16,27894.36,0.19
2020-04-30,6.67,6.7,6.7,6.63,34215.01,0.03,0.45,6.606,6.509,6.446,36444.69,30699.35,28785.69,0.22
2020-05-06,6.61,6.74,6.68,6.61,41506.71,-0.02,-0.3,6.646,6.542,6.461,36554.6,32688.41,29619.96,0.27
2020-05-07,6.7,6.73,6.7,6.62,27610.56,0.02,0.3,6.668,6.572,6.475,33530.78,33238.9,29925.54,0.18
2020-05-08,6.63,6.76,6.72,6.63,24582.11,0.02,0.3,6.694,6.605,6.489,31379.97,32973.49,29282.6,0.16
2020-05-11,6.73,6.75,6.66,6.64,23105.33,-0.06,-0.89,6.692,6.624,6.502,30203.94,32004.14,29198.18,0.15
2020-05-12,6.65,6.73,6.69,6.65,25884.14,0.03,0.45,6.69,6.648,6.516,28537.77,32491.23,29591.89,0.17
2020-05-13,6.71,6.89,6.82,6.68,50876.61,0.13,1.94,6.718,6.682,6.538,30411.75,33483.18,30650.57,0.33
2020-05-14,6.8,6.85,6.78,6.74,23638.34,-0.04,-0.59,6.734,6.701,6.563,29617.31,31574.04,30561.13,0.15
2020-05-15,6.82,6.87,6.85,6.76,23366.08,0.07,1.03,6.76,6.727,6.589,29374.1,30377.04,30773.14,0.15
