date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,7.93,8.11,8.11,7.92,37437.88,0.18,2.27,7.978,8.055,8.062,29683.7,40391.12,38237.28,0.74
2020-02-21,8.08,8.16,8.03,7.99,46029.88,-0.08,-0.99,8.032,8.021,8.047,33986.26,37821.21,39470.23,0.91
2020-02-24,8.02,8.12,8.09,7.93,33426.29,0.06,0.75,8.046,8.0,8.035,35129.78,35865.02,40447.04,0.66
2020-02-25,7.97,7.97,7.95,7.68,36219.03,-0.14,-1.73,8.022,7.995,8.012,35500.91,33993.23,41572.84,0.72
2020-02-26,7.86,8.02,7.87,7.85,25567.42,-0.08,-1.01,8.01,7.968,7.991,35736.1,33296.46,42008.32,0.51
2020-02-27,7.9,7.94,7.89,7.85,18992.44,0.02,0.25,7.966,7.972,7.972,32047.01,30865.36,42359.11,0.38
2020-02-28,7.75,7.78,7.56,7.53,25021.69,-0.33,-4.18,7.872,7.952,7.955,27845.37,30915.82,42016.55,0.49
2020-03-02,7.64,7.81,7.79,7.6,21483.62,0.23,3.04,7.812,7.929,7.989,25456.84,30293.31,41612.76,0.42
2020-03-03,7.83,7.94,7.9,7.8,24712.14,0.11,1.41,7.802,7.912,7.996,23155.46,29328.18,39418.66,0.49
2020-03-04,7.8,7.91,7.91,7.79,14538.07,0.01,0.13,7.81,7.91,8.0,20949.59,28342.85,36756.68,0.29
2020-03-05,7.94,8.02,8.02,7.9,27202.85,0.11,1.39,7.836,7.901,7.978,22591.67,27319.34,33855.23,0.54
2020-03-06,7.95,8.03,8.0,7.92,21508.17,-0.02,-0.25,7.924,7.898,7.96,21888.97,24867.17,31344.19,0.43
2020-03-09,7.95,7.95,7.75,7.74,23190.62,-0.25,-3.12,7.916,7.864,7.932,22230.37,23843.61,29854.31,0.46
2020-03-10,7.7,7.92,7.92,7.66,16913.05,0.17,2.19,7.92,7.861,7.928,20670.55,21913.01,27953.12,0.33
2020-03-11,7.92,8.0,7.86,7.82,18993.4,-0.06,-0.76,7.91,7.86,7.914,21561.62,21255.61,27276.03,0.38
2020-03-12,7.81,7.81,7.7,7.66,15012.0,-0.16,-2.04,7.846,7.841,7.907,19123.45,20857.56,25861.46,0.3
2020-03-13,7.41,7.63,7.57,7.34,18503.34,-0.13,-1.69,7.76,7.842,7.897,18522.48,20205.73,25560.77,0.37
2020-03-16,7.6,7.66,7.34,7.32,15747.0,-0.23,-3.04,7.678,7.797,7.863,17033.76,19632.06,24962.69,0.31
2020-03-17,7.33,7.53,7.35,7.17,11187.53,0.01,0.14,7.564,7.742,7.827,15888.65,18279.6,23803.89,0.22
2020-03-18,7.46,7.47,7.31,7.26,9664.8,-0.04,-0.54,7.454,7.682,7.796,14022.93,17792.28,23067.56,0.19
2020-03-19,7.29,7.36,7.35,7.16,9838.1,0.04,0.55,7.384,7.615,7.758,12988.15,16055.8,21687.57,0.19
2020-03-20,7.43,7.48,7.48,7.37,8626.17,0.13,1.77,7.366,7.563,7.731,11012.72,14767.6,19817.39,0.17
2020-03-23,7.39,7.5,7.34,7.23,10847.46,-0.14,-1.87,7.366,7.522,7.693,10032.81,13533.29,18688.45,0.21
2020-03-24,7.42,7.49,7.47,7.37,8527.0,0.13,1.77,7.39,7.477,7.669,9500.71,12694.68,17303.84,0.17
2020-03-25,7.57,7.6,7.54,7.48,10277.02,0.07,0.94,7.436,7.445,7.653,9623.15,11823.04,16539.32,0.2
2020-03-26,7.54,7.56,7.54,7.48,10687.05,0.0,0.0,7.474,7.429,7.635,9792.94,11390.55,16124.05,0.21
2020-03-27,7.56,7.59,7.5,7.49,10053.05,-0.04,-0.53,7.478,7.422,7.632,10078.32,10545.52,15375.62,0.2
2020-03-30,7.49,7.52,7.46,7.3,9950.49,-0.04,-0.53,7.502,7.434,7.616,9898.92,9965.87,14798.97,0.2
2020-03-31,7.53,7.56,7.42,7.41,5012.95,-0.04,-0.54,7.492,7.441,7.592,9196.11,9348.41,13814.01,0.1
2020-04-01,7.42,7.47,7.33,7.32,8512.89,-0.09,-1.21,7.45,7.443,7.563,8843.29,9233.22,13512.75,0.17
2020-04-02,7.3,7.49,7.48,7.3,9895.4,0.15,2.05,7.438,7.456,7.536,8684.96,9238.95,12647.37,0.2
2020-04-03,7.46,7.51,7.4,7.34,6400.0,-0.08,-1.07,7.418,7.448,7.506,7954.35,9016.33,11891.97,0.13
2020-04-07,7.47,7.55,7.52,7.47,12020.24,0.12,1.62,7.43,7.466,7.494,8368.3,9133.61,11333.45,0.24
2020-04-08,7.5,7.63,7.51,7.46,17208.58,-0.01,-0.13,7.448,7.47,7.474,10807.42,10001.77,11348.22,0.34
2020-04-09,7.57,7.78,7.69,7.53,37548.62,0.18,2.4,7.52,7.485,7.465,16614.57,12728.93,12275.98,0.74
2020-04-10,7.73,7.73,7.51,7.49,13041.0,-0.18,-2.34,7.526,7.482,7.456,17243.69,12964.32,12177.43,0.26
2020-04-13,7.47,7.51,7.38,7.34,13984.18,-0.13,-1.73,7.522,7.47,7.446,18760.52,13357.44,11951.48,0.28
