date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,7.3,7.43,7.37,7.16,332167.62,-0.09,-1.21,7.41,6.988,6.812,408002.06,363515.0,274106.62,9.52
2020-02-21,7.39,7.58,7.41,7.22,327764.28,0.04,0.54,7.416,7.132,6.803,372339.28,380838.13,281645.72,9.39
2020-02-24,7.54,7.62,7.57,7.37,353473.16,0.16,2.16,7.428,7.232,6.804,360852.32,395745.44,289933.5,10.13
2020-02-25,7.25,7.39,7.29,6.98,328383.31,-0.28,-3.7,7.42,7.304,6.79,361680.58,379395.35,298667.83,9.41
2020-02-26,7.09,8.02,7.79,7.07,662969.56,0.5,6.86,7.486,7.413,6.833,400951.59,413097.25,316115.26,19.0
2020-02-27,7.64,8.3,7.84,7.61,676384.19,0.05,0.64,7.58,7.495,6.885,469794.9,438898.48,341265.02,19.38
2020-02-28,7.13,7.79,7.17,7.13,444641.66,-0.67,-8.55,7.532,7.474,6.919,493170.38,432754.83,354093.32,12.74
2020-03-02,7.31,7.89,7.89,7.27,483554.16,0.72,10.04,7.596,7.512,7.021,519186.58,440019.45,377558.28,13.86
2020-03-03,8.31,8.68,8.68,7.94,920063.31,0.79,10.01,7.874,7.647,7.172,637522.58,499601.58,411770.79,26.36
2020-03-04,8.36,9.55,9.29,8.36,1039813.69,0.61,7.03,8.174,7.83,7.34,712891.4,556921.49,453044.95,29.79
2020-03-05,9.07,9.77,9.29,8.78,876273.19,0.0,0.0,8.464,8.022,7.505,752869.2,611332.05,487423.53,25.11
2020-03-06,8.9,9.18,8.93,8.81,527545.44,-0.36,-3.88,8.816,8.174,7.653,769449.96,631310.17,506074.15,15.12
2020-03-09,8.56,8.79,8.08,8.04,499141.03,-0.85,-9.52,8.854,8.225,7.729,772567.33,645876.95,520811.2,14.3
2020-03-10,7.93,8.55,8.54,7.78,425756.12,0.46,5.69,8.826,8.35,7.827,673705.89,655614.24,517504.79,12.2
2020-03-11,8.4,8.55,8.18,8.18,332483.44,-0.36,-4.21,8.604,8.389,7.901,532239.84,622565.62,517831.43,9.53
2020-03-12,8.02,8.34,8.09,7.96,237774.5,-0.09,-1.1,8.364,8.414,7.955,404540.11,578704.65,508801.57,6.81
2020-03-13,7.6,7.96,7.81,7.52,299741.41,-0.28,-3.46,8.14,8.478,7.976,358979.3,564214.63,498484.73,8.59
2020-03-16,7.99,8.33,7.82,7.55,329378.16,0.01,0.13,8.088,8.471,7.992,325026.73,548797.03,494408.24,9.44
2020-03-17,7.94,8.08,7.67,7.22,279313.34,-0.15,-1.92,7.914,8.37,8.009,295738.17,484722.03,492161.81,8.0
2020-03-18,7.72,8.15,7.61,7.6,303617.56,-0.06,-0.78,7.8,8.202,8.016,289964.99,411102.42,484011.96,8.7
2020-03-19,7.44,7.68,7.59,7.33,232835.3,-0.02,-0.26,7.7,8.032,8.027,288977.15,346758.63,479045.34,6.67
2020-03-20,7.77,7.95,7.92,7.61,309201.88,0.33,4.35,7.722,7.931,8.053,290869.25,324924.27,478117.22,8.86
2020-03-23,7.6,7.89,7.55,7.53,217121.86,-0.37,-4.67,7.668,7.878,8.052,268417.99,296722.36,471299.66,6.22
2020-03-24,7.72,7.95,7.84,7.49,251307.86,0.29,3.84,7.702,7.808,8.079,262816.89,279277.53,467445.88,7.2
2020-03-25,8.01,8.08,7.9,7.76,287985.94,0.06,0.77,7.76,7.78,8.085,259690.57,274827.78,448696.7,8.25
2020-03-26,7.68,7.83,7.56,7.52,226923.19,-0.34,-4.3,7.754,7.727,8.071,258508.15,273742.65,426223.65,6.5
2020-03-27,7.67,7.78,7.41,7.4,214556.36,-0.15,-1.98,7.652,7.687,8.083,239579.04,265224.15,414719.39,6.15
