date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,90.18,91.08,90.8,89.25,160275.53,1.12,1.25,91.002,90.772,89.741,173801.43,192320.21,244435.79,0.36
2020-02-21,90.31,90.7,90.2,89.88,193347.19,-0.6,-0.66,90.732,90.827,89.929,182450.22,189187.28,243746.95,0.44
2020-02-24,89.97,90.05,88.38,87.55,279507.56,-1.82,-2.02,89.932,90.815,89.815,205837.75,200589.61,231410.27,0.63
2020-02-25,87.37,89.99,88.31,87.2,231843.52,-0.07,-0.08,89.474,90.631,89.726,206697.42,200855.22,228326.09,0.53
2020-02-26,87.9,87.99,86.68,86.5,229985.36,-1.63,-1.85,88.874,90.003,89.541,218991.83,198890.71,229849.89,0.52
2020-02-27,87.0,88.0,87.21,86.3,190021.8,0.53,0.61,88.156,89.579,89.385,224941.09,199371.26,231237.86,0.43
2020-02-28,86.0,86.58,84.09,83.66,269596.78,-3.12,-3.58,86.934,88.833,89.19,240191.0,211320.61,232866.92,0.61
2020-03-02,85.05,86.41,85.2,83.12,269891.62,1.11,1.32,86.298,88.115,89.177,238267.82,222052.78,225840.49,0.61
2020-03-03,86.26,89.25,88.34,86.26,292430.0,3.14,3.69,86.304,87.889,89.257,250385.11,228541.27,224245.45,0.66
2020-03-04,88.0,88.11,87.8,86.4,150531.0,-0.54,-0.61,86.528,87.701,89.201,234494.24,226743.04,216934.09,0.34
2020-03-05,89.61,92.5,91.7,89.01,441925.56,3.9,4.44,87.426,87.791,89.282,284874.99,254908.04,223614.13,1.0
2020-03-06,92.0,93.8,92.25,91.7,312582.62,0.55,0.6,89.058,87.996,89.412,293472.16,266831.58,228009.43,0.71
2020-03-09,90.05,91.3,88.89,88.79,328201.78,-3.36,-3.64,89.796,88.047,89.431,305134.19,271701.0,236145.31,0.74
2020-03-10,89.25,91.6,90.6,88.15,262844.69,1.71,1.92,90.248,88.276,89.454,299217.13,274801.12,237828.17,0.6
2020-03-11,91.79,91.79,89.03,88.81,160102.44,-1.57,-1.73,90.494,88.511,89.257,301131.42,267812.83,233351.77,0.36
2020-03-12,87.51,89.0,86.38,86.0,250774.55,-2.65,-2.98,89.43,88.428,89.004,262901.22,273888.1,236629.68,0.57
2020-03-13,82.2,86.0,84.7,82.0,349671.31,-1.68,-1.95,87.92,88.489,88.661,270318.95,281895.56,246608.08,0.79
2020-03-16,85.0,85.7,82.05,81.55,289940.94,-2.65,-3.13,86.552,88.174,88.145,262666.79,283900.49,252976.64,0.66
2020-03-17,82.05,83.96,81.09,79.08,272934.69,-0.96,-1.17,84.65,87.449,87.669,264684.79,281950.96,255246.11,0.62
2020-03-18,81.2,84.26,80.6,80.29,283896.88,-0.49,-0.6,82.964,86.729,87.215,289443.67,295287.55,261015.29,0.64
2020-03-19,80.5,81.8,79.0,77.18,322310.88,-1.6,-1.99,81.488,85.459,86.625,303750.94,283326.08,269117.06,0.73
2020-03-20,79.98,80.99,80.16,78.66,248832.23,1.16,1.47,80.58,84.25,86.123,283583.12,276951.04,271891.31,0.56
2020-03-23,80.0,83.49,82.3,79.31,415207.69,2.14,2.67,80.63,83.591,85.819,308636.47,285651.63,278676.32,0.94
2020-03-24,83.04,86.0,85.66,82.88,319005.5,3.36,4.08,81.544,83.097,85.687,317850.64,291267.71,283034.42,0.72
2020-03-25,88.15,89.98,88.97,86.61,318446.47,3.31,3.86,83.218,83.091,85.801,324760.55,307102.11,287457.47,0.72
2020-03-26,88.9,91.5,90.28,88.15,317703.56,1.31,1.47,85.474,83.481,85.955,323839.09,313795.02,293841.56,0.72
2020-03-27,91.05,93.25,90.89,90.08,284698.59,0.61,0.68,87.62,84.1,86.295,331012.36,307297.74,294596.65,0.65
2020-03-30,90.0,92.45,90.7,88.68,256846.44,-0.19,-0.21,89.3,84.965,86.57,299340.11,303988.29,293944.39,0.58
2020-03-31,91.17,92.18,92.03,90.0,263044.69,1.33,1.47,90.574,86.059,86.754,288147.95,302999.29,292475.13,0.6
2020-04-01,91.38,91.49,90.0,89.2,193044.98,-2.03,-2.21,90.78,86.999,86.864,263067.65,293914.1,294600.82,0.44
2020-04-02,90.05,91.99,91.85,89.62,181388.7,1.85,2.06,91.094,88.284,86.872,235804.68,279821.89,281573.98,0.41
2020-04-03,91.8,95.0,93.73,91.53,292103.44,1.88,2.05,91.662,89.641,86.946,237285.65,284149.01,280550.02,0.66
2020-04-07,94.5,95.98,95.5,93.58,237684.03,1.77,1.89,92.622,90.961,87.276,233453.17,266396.64,276024.14,0.54
2020-04-08,94.9,96.5,94.78,94.23,161198.58,-0.72,-0.75,93.172,91.873,87.485,213083.95,250615.95,270941.83,0.37
2020-04-09,94.79,97.8,96.79,94.45,177080.66,2.01,2.12,94.53,92.655,87.873,209891.08,236479.37,271790.74,0.4
2020-04-10,96.78,99.68,96.21,95.9,171076.28,-0.58,-0.6,95.402,93.248,88.365,207828.6,221816.64,267805.83,0.39
2020-04-13,96.98,97.37,96.67,95.28,93329.25,0.46,0.48,95.99,93.826,88.963,168073.76,202679.71,254988.72,0.21
2020-04-14,97.72,98.54,98.49,96.08,193455.08,1.82,1.88,96.588,94.605,89.785,159227.97,196340.57,250164.43,0.44
2020-04-15,98.51,99.55,97.43,96.88,144663.06,-1.06,-1.08,97.118,95.145,90.602,155920.87,184502.41,243750.85,0.33
2020-04-16,96.17,97.92,97.41,95.52,139842.86,-0.02,-0.02,97.242,95.886,91.443,148473.31,179182.19,236548.15,0.32
2020-04-17,97.55,98.2,96.6,96.36,147495.45,-0.81,-0.83,97.32,96.361,92.323,143757.14,175792.87,227807.38,0.33
2020-04-20,96.6,97.5,96.7,96.01,128541.9,0.1,0.1,97.326,96.658,93.15,150799.67,159436.72,221792.86,0.29
2020-04-21,97.0,97.02,95.3,94.25,183203.23,-1.4,-1.45,96.688,96.638,93.8,148749.3,153988.64,210192.64,0.42
2020-04-22,95.29,97.5,97.5,94.11,177450.48,2.2,2.31,96.702,96.91,94.392,155306.78,155613.83,203114.89,0.4
2020-04-23,98.0,98.77,96.05,95.0,193765.77,-1.45,-1.49,96.43,96.836,94.746,166091.37,157282.34,196880.85,0.44
2020-04-24,95.98,95.99,95.28,94.5,108507.01,-0.77,-0.8,96.166,96.743,94.996,158293.68,151025.41,186421.02,0.25
2020-04-27,95.9,97.3,96.35,94.29,183859.78,1.07,1.12,96.096,96.711,95.269,169357.25,160078.46,181379.08,0.42
2020-04-28,96.4,97.0,96.05,95.05,221291.8,-0.3,-0.31,96.246,96.467,95.536,176974.97,162862.13,179601.35,0.5
2020-04-29,95.56,96.0,93.39,91.65,241029.81,-2.66,-2.77,95.424,96.063,95.604,189690.83,172498.81,178500.61,0.55
2020-04-30,93.4,94.6,93.0,92.44,196497.45,-0.39,-0.42,94.814,95.622,95.754,190237.17,178164.27,178673.23,0.45
2020-05-06,92.51,96.42,96.42,92.1,260013.73,3.42,3.68,95.042,95.604,95.983,220538.51,189416.1,182604.48,0.59
2020-05-07,96.55,97.33,96.6,95.6,124586.0,0.18,0.19,95.092,95.594,96.126,208683.76,189020.51,174228.61,0.28
2020-05-08,96.96,98.69,97.05,96.43,167320.86,0.45,0.47,95.292,95.769,96.204,197889.57,187432.27,170710.45,0.38
2020-05-11,96.7,96.78,93.68,93.39,329389.75,-3.37,-3.47,95.35,95.387,96.149,215561.56,202626.2,179120.01,0.75
2020-05-12,93.68,95.53,95.44,93.52,182856.28,1.76,1.88,95.838,95.326,96.081,212833.32,201535.25,179408.79,0.41
2020-05-13,95.44,97.0,95.7,94.1,224920.09,0.26,0.27,95.694,95.368,96.056,205814.6,213176.56,182100.98,0.51
2020-05-14,95.46,98.0,97.2,94.7,222616.8,1.5,1.57,95.814,95.453,96.082,225420.76,217052.26,188565.36,0.5
2020-05-15,97.8,98.15,94.83,94.51,253660.59,-2.37,-2.44,95.37,95.331,95.899,242688.7,220289.14,191575.64,0.57
2020-05-18,94.95,98.2,97.2,94.1,301163.22,2.37,2.5,96.074,95.712,95.888,237043.4,226302.48,199400.64,0.68
2020-05-19,99.0,99.97,97.94,97.31,185348.38,0.74,0.76,96.574,96.206,95.914,237541.82,225187.57,201675.92,0.42
2020-05-20,98.52,99.97,97.9,97.15,193245.58,-0.04,-0.04,97.014,96.354,95.979,231206.91,218510.76,203963.43,0.44
2020-05-21,98.3,101.0,99.74,98.03,270698.81,1.84,1.88,97.522,96.668,96.131,240823.32,233122.04,211071.27,0.61
2020-05-22,99.77,99.88,95.88,95.38,284477.84,-3.86,-3.87,97.732,96.551,96.16,246986.77,244837.73,216135.0,0.64
2020-05-25,80.6,81.73,80.95,80.05,199368.39,1.24,1.56,94.482,95.278,95.333,226627.8,231835.6,217230.9,0.38
2020-05-26,80.65,81.9,81.5,80.26,211371.0,0.55,0.68,91.194,93.884,94.605,231832.32,234687.07,218111.16,0.4
2020-05-27,81.13,81.13,79.87,78.41,311442.12,-1.63,-2.0,87.588,92.301,93.835,255471.63,243339.27,228257.91,0.59
2020-05-28,79.71,79.93,78.5,77.33,231916.84,-1.37,-1.72,83.34,90.431,92.942,247715.24,244269.28,230660.77,0.44
2020-05-29,78.1,79.35,78.7,77.8,173189.69,0.2,0.26,79.904,88.818,92.075,225457.61,236222.19,228255.66,0.33
