date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,25.71,25.71,25.07,24.55,766867.38,-1.15,-4.39,23.612,22.037,21.599,470878.08,283753.22,194453.7,3.94
2020-02-21,25.1,27.0,26.18,24.8,622103.81,1.11,4.43,24.814,22.575,21.794,581897.97,333973.96,222398.35,3.19
2020-02-24,25.69,25.86,25.44,25.13,394070.34,-0.74,-2.83,25.464,23.07,21.954,627571.36,362330.24,237797.11,2.02
2020-02-25,24.6,24.95,24.49,23.3,463627.41,-0.95,-3.73,25.48,23.479,22.066,709531.46,400585.93,255989.13,2.38
2020-02-26,24.0,25.12,23.77,23.77,341190.88,-0.72,-2.94,24.99,23.8,22.151,517571.96,427993.64,267384.06,1.75
2020-02-27,24.1,25.15,24.52,23.9,331301.75,0.75,3.15,24.88,24.246,22.281,430458.84,450668.46,279721.1,1.7
2020-02-28,23.51,24.1,23.1,23.09,294972.66,-1.42,-5.79,24.264,24.539,22.357,365032.61,473465.29,288727.53,1.51
2020-03-02,23.33,24.25,23.82,23.01,210796.98,0.72,3.12,23.94,24.702,22.576,328377.94,477974.65,293201.79,1.08
2020-03-03,23.94,25.96,24.57,23.91,377822.0,0.75,3.15,23.956,24.718,22.82,311216.85,510374.16,305259.39,1.94
2020-03-04,24.29,25.65,25.09,24.29,282734.06,0.52,2.12,24.22,24.605,23.077,299525.49,408548.73,313426.23,1.45
2020-03-05,25.4,25.85,25.12,24.67,273685.22,0.03,0.12,24.34,24.61,23.324,288002.18,359230.51,321491.87,1.41
2020-03-06,24.81,25.2,24.8,24.56,171244.3,-0.32,-1.27,24.68,24.472,23.524,263256.51,314144.56,324059.26,0.88
2020-03-09,24.1,24.5,23.45,23.45,186662.28,-1.35,-5.44,24.606,24.273,23.672,258429.57,293403.75,327867.0,0.96
2020-03-10,23.2,24.39,24.28,23.11,160977.38,0.83,3.54,24.548,24.252,23.866,215060.65,263138.75,331862.34,0.83
2020-03-11,24.32,25.26,24.53,24.26,247288.97,0.25,1.03,24.436,24.328,24.064,207971.63,253748.56,340871.1,1.27
2020-03-12,24.05,24.99,24.19,23.85,168715.8,-0.34,-1.39,24.25,24.295,24.271,186977.75,237489.97,344079.21,0.87
2020-03-13,23.36,25.05,24.8,23.27,289010.75,0.61,2.52,24.25,24.465,24.502,210531.04,236893.77,355179.53,1.48
2020-03-16,25.13,25.49,24.0,23.9,263888.56,-0.8,-3.23,24.36,24.483,24.593,225976.29,242202.93,360088.79,1.35
2020-03-17,24.25,24.6,23.81,23.05,165467.34,-0.19,-0.79,24.266,24.407,24.563,226874.28,220967.47,365670.81,0.85
2020-03-18,24.0,24.29,23.1,23.1,149551.62,-0.71,-2.98,23.98,24.208,24.407,207326.81,207649.22,308098.97,0.77
2020-03-19,23.15,23.48,22.83,22.43,265058.25,-0.27,-1.17,23.708,23.979,24.295,226595.3,206786.53,283008.52,1.36
2020-03-20,23.19,23.27,23.25,22.51,155100.7,0.42,1.84,23.398,23.824,24.148,199813.29,205172.17,259658.36,0.8
2020-03-23,22.68,22.85,22.17,22.01,136273.55,-1.08,-4.64,23.032,23.696,23.985,174290.29,200133.29,246768.52,0.7
2020-03-24,22.61,22.7,22.47,21.94,95034.74,0.3,1.35,22.764,23.515,23.884,160203.77,193539.03,228338.89,0.49
2020-03-25,22.91,22.94,22.8,22.45,111226.48,0.33,1.47,22.704,23.342,23.835,152538.74,179932.78,216840.67,0.57
2020-03-26,22.62,22.71,22.29,22.15,96175.77,-0.51,-2.24,22.596,23.152,23.724,118762.25,172678.78,205084.37,0.49
2020-03-27,22.77,22.93,22.25,22.25,99848.63,-0.04,-0.18,22.396,22.897,23.681,107711.83,153762.56,195328.17,0.51
2020-03-30,21.85,21.9,21.5,21.05,129488.97,-0.75,-3.37,22.262,22.647,23.565,106354.92,140322.61,191262.77,0.66
2020-03-31,21.68,21.74,21.2,21.13,65531.62,-0.3,-1.4,22.008,22.386,23.397,100454.29,130329.03,175648.25,0.34
2020-04-01,21.16,21.42,20.88,20.85,84749.54,-0.32,-1.51,21.624,22.164,23.186,95158.91,123848.83,165749.02,0.44
2020-04-02,20.88,21.52,21.52,20.86,84469.22,0.64,3.06,21.47,22.033,23.006,92817.6,105789.92,156288.22,0.43
2020-04-03,21.41,21.83,21.71,21.24,79452.82,0.19,0.88,21.362,21.879,22.852,88738.43,98225.13,151698.65,0.41
2020-04-07,22.0,22.56,22.24,21.91,107753.5,0.53,2.44,21.51,21.886,22.791,84391.34,95373.13,147753.21,0.55
2020-04-08,22.01,23.57,23.32,21.97,185213.02,1.08,4.86,21.934,21.971,22.743,108327.62,104390.96,148964.99,0.95
2020-04-09,23.28,23.44,23.25,22.92,84481.96,-0.07,-0.3,22.408,22.016,22.679,108274.1,101716.51,140824.64,0.43
2020-04-10,23.2,23.2,22.68,22.62,82208.72,-0.57,-2.45,22.64,22.055,22.604,107822.0,100319.8,136499.29,0.42
