date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,5.83,5.86,5.74,5.57,464439.28,-0.11,-1.88,5.974,6.394,6.114,465567.63,557279.24,488051.8,8.14
2020-02-21,5.75,5.92,5.83,5.65,405070.75,0.09,1.57,5.938,6.184,6.184,455469.43,467851.03,505820.71,7.1
2020-02-24,5.86,6.07,5.93,5.84,411216.94,0.1,1.72,5.912,6.063,6.254,457442.84,481239.92,522375.74,7.21
2020-02-25,5.9,6.52,6.52,5.77,865583.88,0.59,9.95,5.974,6.072,6.331,528438.01,541487.21,543187.38,15.18
2020-02-26,6.66,6.66,6.15,6.12,673595.75,-0.37,-5.67,6.034,6.036,6.364,563981.32,533840.65,560052.27,11.81
2020-02-27,6.07,6.18,5.89,5.8,391803.81,-0.26,-4.23,6.064,6.019,6.399,549454.23,507510.93,537920.48,6.87
2020-02-28,5.75,6.12,5.85,5.7,347963.94,-0.04,-0.68,6.068,6.003,6.415,538032.86,496751.15,526674.49,6.1
2020-03-02,5.86,5.94,5.91,5.66,301333.0,0.06,1.03,6.064,5.988,6.407,516056.08,486749.46,539129.1,5.28
2020-03-03,5.86,6.1,6.02,5.81,381149.56,0.11,1.86,5.964,5.969,6.374,419169.21,473803.61,525263.57,6.68
2020-03-04,5.92,5.96,5.85,5.76,254223.78,-0.17,-2.82,5.904,5.969,6.299,335294.82,449638.07,495737.7,4.46
2020-03-05,5.87,5.9,5.89,5.81,236792.86,0.04,0.68,5.904,5.984,6.189,304292.63,426873.43,492076.33,4.15
2020-03-06,5.85,5.98,5.97,5.83,284749.44,0.08,1.36,5.928,5.998,6.091,291649.73,414841.3,441346.16,4.99
2020-03-09,5.96,6.41,6.21,5.87,607122.88,0.24,4.02,5.988,6.026,6.045,352807.7,434431.89,457835.91,10.64
2020-03-10,6.07,6.07,5.89,5.59,381309.75,-0.32,-5.15,5.962,5.963,6.018,352839.74,386004.48,463745.84,6.69
2020-03-11,5.84,5.88,5.76,5.75,229707.44,-0.13,-2.21,5.944,5.924,5.98,347936.47,341615.65,437728.15,4.03
2020-03-12,5.74,5.75,5.54,5.48,201219.11,-0.22,-3.82,5.874,5.889,5.954,340821.72,322557.18,415034.05,3.53
2020-03-13,5.22,5.35,5.26,5.08,232712.31,-0.28,-5.05,5.732,5.83,5.917,330414.3,311032.01,403891.58,4.08
2020-03-16,5.34,5.79,5.73,5.33,623812.44,0.47,8.94,5.636,5.812,5.9,333752.21,343279.96,415014.71,10.94
2020-03-17,5.5,5.71,5.39,5.16,438054.12,-0.34,-5.93,5.536,5.749,5.859,345101.08,348970.41,411387.01,7.68
2020-03-18,5.45,5.55,5.35,5.32,258421.41,-0.04,-0.74,5.454,5.699,5.834,350843.88,349390.18,399514.12,4.53
2020-03-19,5.27,5.28,5.19,4.99,237540.81,-0.16,-2.99,5.384,5.629,5.807,358108.22,349464.97,388169.2,4.16
2020-03-20,5.23,5.37,5.35,5.19,195520.97,0.16,3.08,5.402,5.567,5.783,350669.95,340542.12,377691.71,3.43
2020-03-23,5.22,5.79,5.56,5.19,344523.44,0.21,3.92,5.368,5.502,5.764,294812.15,314282.18,374357.04,6.04
2020-03-24,5.48,5.53,5.43,5.28,249310.8,-0.13,-2.34,5.376,5.456,5.71,257063.49,301082.29,343543.38,4.37
2020-03-25,5.48,5.75,5.67,5.4,349431.0,0.24,4.42,5.44,5.447,5.686,275265.4,313054.64,327335.14,6.13
2020-03-26,5.62,6.18,6.05,5.55,576428.06,0.38,6.7,5.612,5.498,5.694,343042.85,350575.54,336566.36,10.11
2020-03-27,6.15,6.15,5.87,5.83,374388.12,-0.18,-2.98,5.716,5.559,5.695,378816.28,364743.12,337887.57,6.56
2020-03-30,5.79,6.16,5.93,5.76,416801.69,0.06,1.02,5.79,5.579,5.696,393271.93,344042.04,343661.0,7.31
2020-03-31,5.92,5.92,5.81,5.6,316998.06,-0.12,-2.02,5.866,5.621,5.685,406809.39,331936.44,340453.42,5.56
2020-04-01,5.74,5.74,5.38,5.35,282026.28,-0.43,-7.4,5.808,5.624,5.662,393328.44,334296.92,341843.55,4.94
2020-04-02,5.39,5.43,5.38,5.18,198639.28,0.0,0.0,5.674,5.643,5.636,317770.69,330406.77,339935.87,3.48
2020-04-03,5.33,5.48,5.42,5.31,191146.09,0.04,0.74,5.584,5.65,5.609,281122.28,329969.28,335255.7,3.35
2020-04-07,5.47,5.67,5.64,5.37,281787.19,0.22,4.06,5.526,5.658,5.58,254119.38,323695.66,318988.92,4.94
2020-04-08,5.67,6.14,6.0,5.57,510260.72,0.36,6.38,5.564,5.715,5.586,292771.91,349790.65,325436.47,8.95
2020-04-09,5.91,6.11,6.01,5.88,462563.62,0.01,0.17,5.69,5.749,5.598,328879.38,361103.91,337079.28,8.11
2020-04-10,6.04,6.23,6.1,5.93,513428.75,0.09,1.5,5.834,5.754,5.626,391837.27,354803.98,352689.76,9.0
2020-04-13,6.14,6.7,6.66,6.14,715122.0,0.56,9.18,6.082,5.833,5.696,496632.46,388877.37,376810.24,12.54
2020-04-14,6.5,6.65,6.47,6.06,668909.5,-0.19,-2.85,6.248,5.887,5.733,574056.92,414088.15,379065.1,11.73
2020-04-15,6.45,7.06,6.92,6.33,779644.75,0.45,6.96,6.432,5.998,5.81,627933.72,460352.82,396144.63,13.67
2020-04-16,6.7,7.23,6.8,6.61,708452.75,-0.12,-1.73,6.59,6.14,5.882,677111.55,502995.47,418646.19,12.42
2020-04-17,6.73,6.73,6.29,6.24,579566.0,-0.51,-7.5,6.628,6.231,5.937,690339.0,541088.14,435747.45,10.16
