date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,37.0,37.0,36.72,36.28,201702.77,0.11,0.3,36.528,36.765,37.106,240321.71,249482.54,319793.74,1.43
2020-02-21,36.7,37.15,36.84,36.4,200947.66,0.12,0.33,36.72,36.616,37.204,247897.77,224636.45,326849.52,1.43
2020-02-24,36.99,37.29,36.7,36.68,207683.34,-0.14,-0.38,36.812,36.572,37.284,256517.8,218838.5,333989.49,1.48
2020-02-25,36.1,36.97,36.41,35.92,218350.31,-0.29,-0.79,36.656,36.525,37.209,216095.27,221959.88,322708.63,1.55
2020-02-26,36.02,36.19,35.56,35.5,178842.52,-0.85,-2.33,36.446,36.404,37.037,201505.32,221893.4,301154.27,1.27
2020-02-27,35.57,35.95,35.38,35.3,100131.11,-0.18,-0.51,36.178,36.353,36.959,181190.99,210756.35,288495.83,0.71
2020-02-28,35.03,35.35,34.07,34.03,160294.48,-1.31,-3.7,35.624,36.172,36.778,173060.35,210479.06,279967.35,1.14
2020-03-02,34.07,34.94,34.82,34.07,113845.31,0.75,2.2,35.248,36.03,36.654,154292.75,205405.27,259275.71,0.81
2020-03-03,34.93,35.45,35.18,34.9,119898.89,0.36,1.03,35.002,35.829,36.577,134602.46,175348.87,248980.87,0.85
2020-03-04,35.23,35.23,34.91,34.6,92062.9,-0.27,-0.77,34.872,35.659,36.384,117246.54,159375.93,228619.81,0.65
2020-03-05,35.01,35.44,35.44,34.86,134145.22,0.53,1.52,34.884,35.531,36.148,124049.36,152620.17,201051.36,0.95
2020-03-06,35.21,35.78,35.36,35.11,107968.69,-0.08,-0.23,35.142,35.383,36.0,113584.2,143322.28,183979.36,0.77
2020-03-09,35.03,35.05,34.37,34.24,121855.78,-0.99,-2.8,35.052,35.15,35.861,115186.3,134739.52,176789.01,0.87
2020-03-10,33.81,34.74,34.55,33.45,125607.43,0.18,0.52,34.926,34.964,35.745,116328.0,125465.23,173712.56,0.89
2020-03-11,34.55,34.64,34.03,34.03,78716.38,-0.52,-1.5,34.75,34.811,35.608,113658.7,115452.62,168673.01,0.56
2020-03-12,33.5,33.79,33.07,33.03,98348.02,-0.96,-2.82,34.276,34.58,35.467,106499.26,115274.31,163015.33,0.7
2020-03-13,31.79,32.45,32.15,31.36,137201.69,-0.92,-2.78,33.634,34.388,35.28,112345.86,112965.03,161722.05,0.98
2020-03-16,32.63,34.37,32.92,32.42,190664.05,0.77,2.4,33.344,34.198,35.114,126107.51,120646.91,163026.09,1.36
2020-03-17,32.92,33.29,32.05,31.28,121990.43,-0.87,-2.64,32.844,33.885,34.857,125384.11,120856.06,148102.46,0.87
2020-03-18,32.19,32.65,31.3,31.28,95828.97,-0.75,-2.34,32.298,33.524,34.592,128806.63,121232.67,140304.3,0.68
2020-03-19,31.0,31.25,29.91,29.21,174130.92,-1.39,-4.44,31.666,32.971,34.251,143963.21,125231.24,138925.71,1.24
2020-03-20,30.1,30.64,30.61,29.83,124419.83,0.7,2.34,31.358,32.496,33.94,141406.84,126876.35,135099.31,0.88
2020-03-23,29.99,30.38,29.8,29.75,88529.39,-0.81,-2.65,30.734,32.039,33.595,120979.91,123543.71,129141.62,0.63
2020-03-24,30.25,30.33,30.19,29.6,87539.73,0.39,1.31,30.362,31.603,33.284,114089.77,119736.94,122601.09,0.62
2020-03-25,30.8,31.36,31.2,30.51,129929.0,1.01,3.35,30.342,31.32,33.066,120909.77,124858.2,120155.41,0.92
2020-03-26,30.98,32.11,31.69,30.81,152523.02,0.49,1.57,30.698,31.182,32.881,116588.19,130275.7,122775.01,1.08
2020-03-27,32.21,32.35,31.39,31.3,108446.04,-0.3,-0.95,30.854,31.106,32.747,113393.44,127400.14,120182.58,0.77
2020-03-30,31.05,31.8,31.59,30.83,85609.28,0.2,0.64,31.212,30.973,32.586,112809.41,116894.66,118770.78,0.61
2020-03-31,31.7,31.89,31.48,31.35,67022.62,-0.11,-0.35,31.47,30.916,32.401,108705.99,111397.88,116126.97,0.48
2020-04-01,30.86,31.14,30.49,30.43,106148.79,-0.99,-3.15,31.328,30.835,32.18,103949.95,112429.86,116831.26,0.76
2020-04-02,30.3,30.61,30.61,29.85,78048.24,0.12,0.39,31.112,30.905,31.938,89054.99,102821.59,114026.42,0.56
2020-04-03,30.46,31.17,30.92,30.45,78312.58,0.31,1.01,31.018,30.936,31.716,83028.3,98210.87,112543.61,0.56
2020-04-07,31.25,31.64,31.55,31.06,107200.65,0.63,2.04,31.01,31.111,31.575,87346.58,100078.0,111810.85,0.76
2020-04-08,31.35,31.8,31.37,30.85,105617.81,-0.18,-0.57,30.988,31.229,31.416,95065.61,101885.8,110811.37,0.75
2020-04-09,31.54,31.7,31.42,31.31,88120.4,0.05,0.16,31.174,31.251,31.286,91459.94,97704.94,111281.57,0.63
2020-04-10,31.4,32.16,31.47,31.25,119487.68,0.05,0.16,31.346,31.229,31.206,99747.82,94401.41,112338.56,0.85
2020-04-13,31.69,31.9,31.78,31.4,70678.38,0.31,0.98,31.518,31.268,31.187,98220.98,90624.64,109012.39,0.5
2020-04-14,31.5,31.8,31.77,31.1,102554.87,-0.01,-0.03,31.562,31.286,31.13,97291.83,92319.2,104606.93,0.73
2020-04-15,31.81,32.58,32.41,31.63,164444.09,0.64,2.01,31.77,31.379,31.148,109057.08,102061.35,106729.61,1.17
2020-04-16,32.41,32.56,32.11,31.82,126729.94,-0.3,-0.93,31.908,31.541,31.188,116778.99,104119.46,108274.66,0.9
2020-04-17,32.15,32.17,31.58,31.46,128418.17,-0.53,-1.65,31.93,31.638,31.272,118565.09,109156.46,105989.03,0.91
2020-04-20,31.58,31.97,31.71,31.52,66856.6,0.13,0.41,31.916,31.717,31.327,117800.73,108010.86,103110.86,0.48
2020-04-21,31.51,31.65,31.0,30.8,87310.17,-0.71,-2.24,31.762,31.662,31.387,114751.79,106021.81,103049.9,0.62
2020-04-22,30.63,30.97,30.96,30.51,60647.54,-0.04,-0.13,31.472,31.621,31.425,93992.48,101524.78,101705.29,0.43
2020-04-23,31.31,31.93,31.35,31.14,118913.11,0.39,1.26,31.32,31.614,31.433,92429.12,104604.06,101154.5,0.85
2020-04-24,31.4,31.5,30.6,30.51,83913.87,-0.75,-2.39,31.124,31.527,31.378,83528.26,101046.67,97724.04,0.6
