date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,8.15,8.46,8.4,8.03,399726.31,0.28,3.45,8.076,7.931,7.909,282353.84,212961.39,223471.92,0.89
2020-02-21,8.36,8.53,8.28,8.22,361647.22,-0.12,-1.43,8.166,7.987,7.921,316355.15,233465.77,236868.24,0.8
2020-02-24,8.34,8.43,8.25,8.21,255625.44,-0.03,-0.36,8.202,8.024,7.92,317900.76,243601.28,242164.72,0.57
2020-02-25,8.11,8.27,8.23,7.95,298809.56,-0.02,-0.24,8.256,8.069,7.9,334228.56,259953.08,236208.7,0.66
2020-02-26,8.08,8.28,8.12,8.05,214063.08,-0.11,-1.34,8.256,8.097,7.894,305974.32,269088.06,225222.55,0.48
2020-02-27,8.18,8.27,8.09,8.08,159388.14,-0.03,-0.37,8.194,8.135,7.885,257906.69,270130.26,222138.76,0.35
2020-02-28,7.9,7.98,7.6,7.59,253406.64,-0.49,-6.06,8.058,8.112,7.869,236258.57,276306.86,222528.49,0.56
2020-03-02,7.68,7.98,7.95,7.68,180168.97,0.35,4.61,7.998,8.1,7.91,221167.28,269534.02,221983.96,0.4
2020-03-03,8.08,8.24,8.08,7.96,207085.73,0.13,1.64,7.968,8.112,7.945,202822.51,268525.54,221378.16,0.46
2020-03-04,7.99,8.2,8.2,7.96,217232.03,0.12,1.49,7.984,8.12,7.983,203456.3,254715.31,222986.9,0.48
2020-03-05,8.3,8.48,8.36,8.13,388219.84,0.16,1.95,8.038,8.116,8.024,249222.64,253564.67,233263.03,0.86
2020-03-06,8.25,8.26,8.14,8.11,222211.81,-0.22,-2.63,8.146,8.102,8.045,242983.68,239621.12,236543.45,0.49
2020-03-09,8.04,8.1,7.87,7.86,230818.3,-0.27,-3.32,8.13,8.064,8.044,253113.54,237140.41,240370.85,0.51
2020-03-10,7.85,8.22,8.16,7.81,239847.59,0.29,3.69,8.146,8.057,8.063,259665.91,231244.21,245598.64,0.53
2020-03-11,8.18,8.18,8.0,7.99,167872.73,-0.16,-1.96,8.106,8.045,8.071,249794.05,226625.18,247856.62,0.37
2020-03-12,7.9,8.29,8.16,7.83,297044.38,0.16,2.0,8.066,8.052,8.094,231558.96,240390.8,255260.53,0.66
2020-03-13,7.89,8.37,8.32,7.78,346409.28,0.16,1.96,8.102,8.124,8.118,256398.46,249691.07,262998.96,0.77
