code,name,roe,net_profit_ratio,gross_profit_rate,eps,bips,arturnover,inventory_turnover,currentasset_turnover,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,beat
600123,兰花科创,2.06,10.43,38.7302,0.1985,1.9022,14.3257,2.2509,0.4329,44.1855,795.4869,2.0462,2.0154,320.7627,3.475,0.5102,0.4477,20.9236,339.0021,40.7266,59.2734,0.0398,0.0031,0.4342,0.0053,0.7859,1
600125,铁龙物流,1.84,2.71,5.1492,0.0897,3.3101,9.759,1.6408,0.8962,2.2591,-15.7189,3.7939,10.7048,-16.6667,3.8223,2.5326,1.3637,58.4256,1993.5042,63.579,36.421,0.0302,0.013,1.11,0.0358,6.5694,0
600126,杭钢股份,1.78,3.41,6.1014,0.1061,3.1053,46.4789,2.8007,0.5832,77.4488,157.1521,7.3665,17.9523,175.0,5.2148,1.7633,1.3634,65.2522,-601.8836,63.6578,36.3422,-0.0061,-0.002,-0.1784,-0.0054,-0.5509,0
600127,金健米业,1.47,0.65,4.5193,0.0171,2.6329,12.7081,1.6967,1.0249,66.3403,54.8923,3.378,11.8462,44.5378,3.3683,1.0884,0.4596,14.1451,348.7246,34.4567,65.5433,0.0005,0.0003,0.07,0.0005,0.0542,0
600128,弘业股份,0.3,0.6,5.5244,0.0233,3.8597,1.9876,5.7128,0.4361,64.3286,99.957,16.801,17.3218,470.7317,12.8336,1.3066,1.1997,30.2537,-1773.0174,55.7717,44.2283,-0.2855,-0.0627,-34.4164,-0.1417,-17.5404,0
600131,国网信通,0.93,4.09,18.1448,0.0366,0.8938,0.1997,2.7264,0.1234,14.4922,4.5292,68.5372,14.748,5.2632,68.5516,1.5554,1.4702,27.2899,-3563.9184,46.7064,53.2936,-0.8203,-0.0874,-20.0298,-0.164,-16.9551,0
600132,重庆啤酒,33.53,9.02,51.0033,0.6102,6.7615,25.1269,1.1726,0.9129,489.2482,1280.6747,40.43,173.8151,771.4286,-39.3858,0.5136,0.3214,28.0846,22623.3446,22.9299,77.0701,0.4016,0.1379,2.1326,0.1789,19.2216,1
600135,乐凯胶片,0.64,2.95,15.0293,0.0303,1.0256,1.3595,1.2018,0.2478,51.9591,141.3672,1.535,1.0109,175.4545,1.4729,4.4868,3.686,98.8416,-1732.1639,81.5438,18.4562,-0.1832,-0.0325,-5.9678,-0.1761,-20.3104,1
600137,浪莎股份,1.14,8.89,17.0456,0.061,0.686,1.1546,0.6756,0.1239,37.3766,22.566,1.7934,0.5789,22.0,1.7934,3.5672,3.008,115.9505,-443.7852,77.9316,22.0684,-0.2273,-0.0228,-2.5547,-0.1034,-10.3662,1
600141,兴发集团,3.6,7.93,21.7645,0.3168,3.9902,4.0881,2.177,0.6831,14.3335,7475.0098,16.7437,-0.5317,1500.0,20.0419,0.552,0.4078,15.853,463.7613,37.9488,62.0512,0.0996,0.0151,1.1631,0.0243,3.7539,1
600143,金发科技,4.9,8.44,20.5134,0.297,3.5192,2.1057,1.5981,0.5685,63.5989,436.926,45.5257,21.7558,439.2015,46.0942,1.712,1.213,48.0097,575.6123,44.1849,55.8151,-0.0246,-0.0063,-0.2908,-0.0112,-2.222,0
600148,长春一东,2.94,4.09,27.2988,0.1031,2.5179,1.258,0.8912,0.3058,59.2824,45.801,12.6627,20.8857,56.0606,10.6482,1.7223,1.2764,25.0569,-2073.3092,43.7818,56.2182,-0.1237,-0.0303,-2.1018,-0.0539,-6.2409,0
600149,廊坊发展,-0.35,-0.83,19.0372,-0.0015,0.1895,4.6312,6.3977,0.4691,-6.778,-60.8193,-11.4498,-2.7585,-166.6667,-19.9852,0.9117,0.8588,46.4093,12912.8933,42.1504,57.8496,-0.5457,-0.0636,-9.0105,-0.11,-27.4631,1
600153,建发股份,1.9,0.72,3.0582,0.2712,37.3981,15.8312,0.4052,0.2644,58.7479,-64.337,47.4733,50.3945,-50.0,25.167,1.5031,0.5572,19.316,665.9375,19.4034,80.5966,-0.3805,-0.081,-47.1014,-0.1005,-13.2736,0
600155,华创阳安,0.91,314.01,90.753,0.0785,0.025,0.2562,0.8923,0.0011,-64.4987,5.5226,-0.5452,6.2855,14.2857,-0.6218,1.7549,1.7547,33.836,637.7342,30.6012,69.3988,13.0265,0.0116,4.13,0.0167,2.4979,1
600157,永泰能源,0.49,3.84,20.9431,0.0093,0.244,1.8565,8.0604,0.592,17.3332,224.8508,60.4631,-1.1759,308.6957,77.5696,0.4114,0.3871,6.8585,162.7899,43.8278,56.1722,0.1869,0.0097,5.028,0.0172,4.4375,1
600160,巨化股份,0.09,0.32,11.0978,0.0043,1.3326,5.8109,2.5813,0.6263,7.9313,260.7212,-1.7801,-2.3184,0.0,-2.4228,2.2481,1.7005,61.4775,-414.2169,81.0256,18.9744,0.087,0.0197,25.7011,0.1036,12.0926,1
600161,天坛生物,3.24,17.9,47.4021,0.1209,0.6753,53.7384,0.2028,0.1783,11.7966,15.1903,16.4321,19.2337,-7.6923,14.7125,4.3207,2.3406,165.5408,-5987.8391,78.3575,21.6425,0.3184,0.0338,1.1866,0.156,24.0407,0
600163,中闽能源,4.57,45.53,70.7445,0.1025,0.2252,0.3295,4.4449,0.1504,72.3967,114.6489,20.0845,17.5267,117.8344,19.7414,1.2402,1.2281,48.2118,588.7691,37.0752,62.9248,0.5867,0.021,1.1714,0.0334,10.4654,0
600165,新日恒力,0.28,7.23,12.6647,0.004,0.0558,1.0429,0.4074,0.0627,83.4285,-54.2356,37.4973,24.9315,81.8182,6.4424,0.5121,0.4259,31.7047,116.804,39.7702,60.2298,0.1013,0.0012,6.9764,0.002,0.3959,1
600167,联美控股,7.54,41.32,61.7424,0.3065,0.7416,1.7046,2.6995,0.223,-3.5547,-22.3358,9.9046,10.7863,-21.5141,9.8629,3.4412,3.3568,235.0462,-1823.1109,73.7635,26.2365,-0.2152,-0.028,-0.5061,-0.1069,-17.6331,0
600168,武汉控股,1.76,20.73,38.1849,0.1363,0.6576,0.2105,65.4135,0.1201,39.1665,90.8458,4.4569,-1.2611,100.0,4.6693,0.9543,0.9531,31.7948,235.448,34.5968,65.4032,-0.0251,-0.0007,-0.1205,-0.0011,-0.2843,0
600170,上海建工,0.36,0.22,7.767,0.0157,7.1131,1.5821,0.8089,0.2531,56.1832,25.5029,29.6929,34.929,-83.3333,19.8992,1.2177,0.853,32.2974,164.3652,14.6117,85.3883,-0.3088,-0.0623,-89.9951,-0.073,-9.736,0
600171,上海贝岭,4.05,32.43,30.6958,0.1977,0.6096,1.4089,0.9171,0.2286,119.0191,256.7296,11.3717,17.7951,233.3333,11.3305,5.7171,4.6987,141.2364,-1369.0721,85.6706,14.3294,0.0123,0.0013,0.0375,0.0091,1.5516,1
600173,卧龙地产,3.78,25.7,50.8869,0.1771,0.6893,321.8258,0.0554,0.0689,37.0591,39.8861,15.0856,5.4956,40.0158,15.0932,1.5012,0.5522,37.3793,-1219.1358,40.8107,59.1893,-0.6225,-0.0374,-2.4236,-0.0632,-6.3397,1
600176,中国巨石,5.74,26.61,43.5211,0.3036,1.141,2.1156,1.4815,0.3499,63.6247,254.8787,18.1952,7.9608,243.4389,15.6415,0.9698,0.8486,19.1412,1118.7968,51.4698,48.5302,0.3051,0.0323,1.1409,0.0665,10.0711,0
600177,雅戈尔,1.94,30.91,61.9746,0.1268,0.4104,6.0683,0.0463,0.0437,-51.222,-43.0484,13.7979,-0.4203,-40.9091,13.9983,0.9483,0.5868,32.796,-2054.1205,37.7131,62.2869,0.068,0.0016,0.2206,0.0026,0.2957,0
600180,瑞茂通,3.25,1.78,5.5231,0.2013,11.2514,1.0536,12.1678,0.5852,50.5345,64.731,-0.1003,23.6243,64.8118,0.1287,0.8697,0.8335,21.9681,332.3871,21.2577,78.7423,0.0474,0.0183,2.6492,0.0232,2.3525,0
600183,生益科技,4.77,12.08,27.9475,0.2375,1.9662,0.8747,1.23,0.3934,46.6648,55.9622,36.3184,35.8053,60.0,23.9382,1.7534,1.3865,48.704,2278.8764,60.2054,39.7946,0.1666,0.0342,1.3133,0.086,9.9825,0
600185,格力地产,2.63,13.2,38.2954,0.1105,0.8368,4.2645,0.0412,0.0564,155.989,311.5833,9.5596,13.4983,300.0,9.5926,1.989,0.3405,29.2004,294.0744,22.5015,77.4985,0.7092,0.0318,5.3791,0.041,7.7811,1
600186,莲花健康,2.78,2.66,15.8886,0.0079,0.3003,3.9095,3.0106,0.4725,40.1923,2.3023,91.0198,22.9375,-11.1111,22.5814,0.6728,0.5896,40.938,384.2016,10.4697,89.5303,0.0412,0.011,1.4158,0.0123,1.2617,0
600188,兖矿能源,4.37,7.24,22.8048,0.4619,6.373,7.7937,3.0732,0.5301,-31.9015,21.495,-4.298,18.8052,48.8103,-17.2452,0.5876,0.5092,26.4097,398.9097,30.0747,69.9253,0.1017,0.0123,1.397,0.0175,3.1403,0
600190,锦州港,0.78,3.39,14.9328,0.0257,0.7577,3.3178,6.1868,0.351,24.8032,2.6242,2.1932,-0.3122,8.04,2.318,0.8088,0.7324,15.2931,144.3669,36.7272,63.2728,0.0196,0.0016,0.5945,0.0026,0.5573,0
600195,中牧股份,3.47,12.53,25.6871,0.1592,1.2701,2.1258,1.3198,0.4566,21.0319,32.4713,16.2801,21.3471,1.7903,9.2423,2.224,1.6548,61.6782,23270.653,78.6177,21.3823,-0.1749,-0.0319,-1.2494,-0.1492,-17.2565,0
600196,复星医药,2.24,10.51,52.5303,0.3305,3.1433,1.6735,0.7398,0.3076,36.997,50.9133,18.6767,11.6277,43.4783,15.1714,1.0548,0.8548,42.9965,991.371,54.2524,45.7476,0.0915,0.0085,0.7528,0.0186,2.8469,1
600197,伊力特,3.61,24.15,61.044,0.2799,1.1592,6.4994,0.2466,0.2282,255.3298,1525.596,26.5021,8.8093,1363.0921,27.1994,4.3022,2.7886,207.2383,-2711.6147,82.1177,17.8823,-0.0439,-0.0052,-0.1792,-0.0292,-4.2637,1
