code,name,roe,net_profit_ratio,gross_profit_rate,eps,bips,arturnover,inventory_turnover,currentasset_turnover,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,beat
600006,东风汽车,6.18,5.7,11.6006,0.2521,4.4217,1.9788,3.3436,0.5655,36.8787,73.0722,7.2544,5.7641,71.6814,7.7416,1.4052,1.2155,24.7264,-816.692,41.0038,58.9962,-0.2462,-0.1059,-4.2654,-0.1796,-19.2241,1
600007,中国国贸,6.29,29.2,57.1435,0.5072,1.7371,4.12,22.4715,0.6926,22.0481,25.5863,6.9357,1.2741,27.5,6.9342,1.9287,1.905,158.9819,1352.2281,66.5949,33.4051,0.5033,0.0722,1.7227,0.2161,63.6265,0
600008,首创环保,5.32,16.56,33.7373,0.1946,1.1751,1.6225,4.8452,0.441,24.0036,231.1414,38.0875,19.0363,159.8131,33.6493,0.7004,0.656,24.6654,331.0277,36.0141,63.9859,0.1976,0.0165,1.0782,0.0257,6.3598,1
600010,包钢股份,4.96,7.0,16.7286,0.0606,0.8651,10.1127,1.6797,0.9072,41.0853,1513.0958,5.5132,9.1932,3266.6667,5.7522,0.7409,0.4217,20.8883,412.8857,42.0591,57.9409,0.1137,0.0293,1.4305,0.0505,6.9494,1
600011,华能国际,3.53,4.5,13.2762,0.2727,6.059,3.0852,10.7935,1.3789,20.2143,-27.3187,4.2747,5.4333,-34.375,3.1921,0.4988,0.4385,10.1701,251.0402,31.9492,68.0508,0.2012,0.0427,3.7002,0.0627,13.2896,1
600017,日照港,2.75,11.45,27.4879,0.114,0.9955,5.4406,12.1498,1.1777,7.8609,-13.0486,1.9544,12.6758,-15.3846,4.741,0.4617,0.4293,19.4366,350.198,51.6194,48.3806,0.386,0.0425,2.9738,0.0878,20.5183,1
600018,上港集团,9.36,50.2,44.6831,0.3761,0.7492,6.0658,0.6434,0.3693,44.2242,111.7947,11.5042,4.0285,127.1739,12.7061,1.7474,1.2598,95.3009,2472.6597,61.2754,38.7246,0.3796,0.0397,0.7189,0.1026,22.8599,1
600019,宝钢股份,7.89,8.13,15.9423,0.6771,8.3189,15.9552,3.5701,1.196,42.7522,273.1565,9.0063,7.6762,277.7778,8.2247,1.0903,0.7707,15.76,2834.3135,54.6469,45.3531,0.1521,0.0741,1.6804,0.1634,18.8003,1
600021,上海电力,3.52,4.94,26.3729,0.2696,5.4525,1.2634,20.2915,0.7292,21.0155,3.6756,13.3539,13.7643,-7.3106,2.9277,0.4877,0.4715,10.6386,226.1149,26.149,73.851,0.1867,0.0195,1.7685,0.0264,6.2057,1
600022,山东钢铁,9.21,3.57,10.7698,0.192,5.3746,394.5151,9.7454,2.7841,46.5358,393.6941,10.1908,8.2065,512.1495,9.7677,0.716,0.5476,36.3691,1250.7515,44.5836,55.4164,0.1164,0.0907,2.1358,0.1637,20.2611,1
600023,浙能电力,3.66,8.31,7.9959,0.182,2.1903,4.9082,7.7761,0.9854,33.4787,-24.9196,6.1714,3.8096,-18.1818,6.3164,1.6211,1.3927,84.9207,659.9989,65.8387,34.1613,0.0926,0.0238,1.129,0.0697,14.5984,1
600025,华能水电,4.4,27.32,54.9348,0.1496,0.5476,4.3213,107.4814,1.5475,22.1442,84.7588,13.6456,-2.4147,87.5,14.2574,0.2891,0.2872,8.1377,291.3286,39.1913,60.8087,0.8399,0.0515,2.9591,0.0848,37.3574,1
600026,中远海能,1.58,8.88,14.9961,0.1141,1.284,6.81,5.8345,0.8068,-37.3538,-76.845,-2.6282,-7.5319,-82.7435,-4.0998,0.7115,0.6214,37.0387,304.995,54.3661,45.6339,0.2684,0.0251,2.3266,0.0549,16.0415,1
600027,华电国际,4.6,6.2,9.3614,0.3362,5.4221,6.1492,17.9795,2.0067,28.7657,24.4505,0.9192,-7.4188,42.9293,7.422,0.4784,0.4272,14.4078,328.1951,42.0517,57.9483,0.1231,0.0312,1.6617,0.0538,11.0675,1
600031,三一重工,16.29,15.0,28.1395,1.1872,7.9111,2.8265,2.5006,0.6892,36.4734,19.1881,24.6046,24.1884,19.1496,23.9876,1.4954,1.215,46.73,-8462.5582,44.0568,55.9432,0.1458,0.0677,0.9507,0.121,14.1599,0
600033,福建高速,4.83,32.52,63.5488,0.1768,0.5437,2.1017,35.2173,1.0908,116.1782,1763.3095,6.8994,2.8466,4555.2632,8.0535,0.9678,0.9598,40.4449,1679.4186,73.8995,26.1005,0.698,0.0624,1.6958,0.2389,63.9953,1
600035,楚天高速,6.66,28.47,53.703,0.2772,0.9733,3.0654,3.5044,0.9645,100.3434,1131.5259,1.9417,-5.8964,1300.0,1.4546,0.654,0.5762,32.4993,563.0474,48.3228,51.6772,0.3881,0.0386,1.2963,0.0747,23.2288,1
600037,歌华有线,0.39,4.31,12.6252,0.036,0.8374,2.6593,2.7663,0.1325,-1.244,-32.9015,0.6642,1.4028,-32.8996,0.6642,5.2194,5.0338,382.7473,-1.8726,80.7928,19.2072,0.2475,0.0184,5.7423,0.0958,17.4997,0
600038,中直股份,4.23,4.07,12.037,0.6489,15.9327,3.2635,0.5399,0.4116,22.3351,27.9118,8.4045,5.1713,28.109,8.7197,1.4775,0.4697,16.674,-16692.6413,36.4279,63.5721,-0.0228,-0.0083,-0.5694,-0.0131,-1.4083,1
600039,四川路桥,10.42,7.73,15.3376,0.5268,6.8091,2.7849,9.8928,0.5459,63.9254,154.7904,46.8532,16.8052,97.5619,46.1825,1.1257,1.0607,25.1626,383.1898,21.8234,78.1766,-0.0896,-0.0237,-1.1402,-0.0303,-5.257,0
600048,保利发展,5.4,11.45,32.4541,0.8361,7.5119,33.5994,0.0787,0.0753,22.0374,10.2483,24.3668,26.2478,1.1765,17.069,1.5671,0.5626,19.4735,1552.5091,22.0072,77.9928,-0.276,-0.0179,-1.6893,-0.023,-3.1088,1
600050,中国联通,2.71,2.45,26.6994,0.13,5.2939,6.9075,51.2106,1.4303,9.1608,21.0318,2.3252,0.4037,21.2963,1.8853,0.5649,0.5521,13.6253,7875.733,58.4779,41.5221,0.3132,0.0898,5.606,0.2163,24.0222,0
600051,宁波联合,2.01,5.71,13.5891,0.1907,3.3376,5.6338,0.3354,0.2007,-49.3685,-87.944,2.4257,-12.0899,-80.9381,0.9533,1.4288,0.6759,42.1516,-9858.7749,44.7896,55.2104,-0.2657,-0.0395,-7.7049,-0.0716,-7.7886,0
600053,九鼎投资,1.58,56.03,93.4483,0.0998,0.1781,0.7373,0.0031,0.0391,-45.0331,-6.4742,1.5471,-7.2436,-8.1031,1.8964,3.9088,0.6418,27.8492,439.5249,82.8631,17.1369,0.6296,0.0145,1.1505,0.0848,9.8442,0
600055,万东医疗,3.51,16.81,48.3378,0.1538,0.9149,3.5585,1.0258,0.2721,-1.6279,-21.0445,8.8376,2.8193,-21.0256,9.1555,5.1104,4.3819,254.4659,-3075.3871,86.5475,13.4525,-0.0318,-0.0055,-0.1904,-0.0411,-4.537,1
600056,中国医药,6.43,3.61,14.7454,0.6186,17.0946,1.539,2.4344,0.7436,-2.8916,-12.0606,7.8954,-8.1399,-14.967,8.3904,1.5675,1.1803,14.4879,1075.0846,38.6603,61.3397,-0.0488,-0.0273,-1.1486,-0.0446,-5.8038,0
600057,厦门象屿,7.38,0.52,2.3544,0.4871,100.8478,14.0888,8.6994,2.8592,33.3277,59.9162,24.2827,26.2315,75.0,13.4534,1.3169,0.8757,13.8262,339.2668,27.083,72.917,-0.0592,-0.1288,-8.996,-0.1766,-20.6841,1
600058,五矿发展,4.21,0.66,3.341,0.2748,41.2172,5.4199,7.9713,1.8855,58.2464,102.0132,4.0436,26.166,202.1583,4.087,1.1955,0.9141,11.1612,421.0835,22.2528,77.7472,-0.0037,-0.0051,-0.5413,-0.0065,-0.6781,1
600059,古越龙山,1.67,11.53,36.5185,0.0966,0.8382,6.2025,0.2395,0.2032,31.9115,32.3283,25.518,23.8784,25.0,25.778,8.7254,4.3397,304.5247,-1604.3643,91.9336,8.0664,-0.2911,-0.0387,-2.552,-0.4792,-48.3093,0
