code,name,roe,net_profit_ratio,gross_profit_rate,eps,bips,arturnover,inventory_turnover,currentasset_turnover,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,beat
600006,东风汽车,6.29,4.21,11.2399,0.2569,6.1008,2.6408,4.7309,0.7957,20.724,4.9105,4.8355,2.0397,4.8552,5.1391,1.4325,1.2406,33.0974,-658.7721,42.3359,57.6641,-0.1017,-0.0623,-2.3894,-0.108,-11.6187,0
600007,中国国贸,9.25,29.12,56.7288,0.7701,2.6446,6.3979,34.789,0.9581,19.2029,26.6477,7.5111,5.0695,26.2295,7.5097,2.079,2.0579,178.3824,1374.95,66.5872,33.4128,0.5616,0.1188,1.9273,0.3554,97.8926,0
600008,首创环保,7.25,12.57,29.6604,0.2607,2.0741,2.7099,9.1333,0.7193,31.5246,107.8981,22.2713,11.6783,59.6448,7.9834,0.8459,0.8006,29.0146,313.361,36.0859,63.9141,0.1073,0.0155,0.7535,0.0243,6.2848,0
600010,包钢股份,6.66,5.9,14.6194,0.0828,1.4038,21.6084,2.7866,1.4882,47.5004,1083.2966,6.869,6.2774,2127.027,7.3056,0.6735,0.3759,16.2502,385.3252,43.0586,56.9414,0.1311,0.0551,1.9675,0.0967,12.0538,0
600011,华能国际,0.67,0.53,7.752,0.0498,9.2371,4.637,18.9007,2.1064,19.0292,-92.5841,-6.5718,6.1844,-110.0,-8.1393,0.4763,0.426,9.9926,124.5395,30.3987,69.6013,0.1572,0.0503,27.3984,0.0722,15.1749,0
600017,日照港,4.38,12.16,28.0851,0.1842,1.5138,7.9252,18.6971,1.8567,6.7699,-6.9911,1.9417,10.5481,-5.2632,4.7034,0.4289,0.3979,21.3005,372.1768,52.0383,47.9617,0.4088,0.0678,2.9833,0.1415,32.9957,0
600018,上港集团,12.24,44.75,44.346,0.5044,1.1271,8.735,0.9786,0.5534,36.5493,84.8951,11.4754,7.4829,95.4107,12.607,1.8158,1.3172,97.5723,2193.0137,62.3368,37.6632,0.3989,0.0625,0.8392,0.166,37.1454,0
600019,宝钢股份,11.38,7.76,15.5142,0.9695,12.4939,23.0141,4.957,1.6969,39.0954,175.921,7.4711,12.7583,180.0,5.2161,1.1304,0.7848,16.4301,2501.0482,52.0953,47.9047,0.106,0.0734,1.2244,0.1533,18.3751,0
600020,中原高速,6.18,18.45,47.7987,0.3429,1.8584,15.6434,0.5721,0.7743,17.9616,501.3324,3.2665,-2.8176,1355.6604,3.4506,0.9798,0.282,16.2635,197.3253,26.969,73.031,0.6246,0.0562,3.3853,0.077,47.1958,0
600021,上海电力,1.97,1.76,20.9647,0.1487,8.4173,1.7922,37.5124,0.9985,21.9046,-41.9955,9.5596,18.1054,-73.7128,-0.8704,0.5358,0.5236,14.316,176.7395,24.1259,75.8741,0.1838,0.0277,3.0975,0.0365,8.3677,0
600022,山东钢铁,12.1,3.26,10.5035,0.2607,7.9742,654.092,13.679,4.1927,36.563,281.0622,14.3232,8.9443,377.4725,12.0886,0.6932,0.5068,28.5919,1088.4931,46.3345,53.6655,0.0647,0.0751,1.2834,0.14,16.6043,0
600023,浙能电力,3.36,4.48,3.2245,0.1662,3.7065,7.234,14.9776,1.715,36.6272,-69.5921,2.1153,3.978,-55.2632,1.644,1.6536,1.4376,81.1984,336.715,65.8372,34.1628,0.0623,0.0272,1.8037,0.0797,17.9546,0
600025,华能水电,7.68,31.32,57.3789,0.2701,0.8623,7.6729,150.0331,2.4159,5.4105,10.5156,3.0476,-3.2004,12.5,3.1351,0.3282,0.3258,12.0684,329.7444,40.6201,59.3799,0.8072,0.0782,2.4411,0.1316,63.0938,0
600026,中远海能,1.29,4.77,11.4064,0.0931,1.9502,11.4373,9.1481,1.2744,-30.089,-80.8309,-3.9073,-5.9688,-87.3301,-5.1421,0.724,0.6225,35.4733,233.5561,54.7397,45.2603,0.2436,0.0348,3.3463,0.077,24.4608,0
600027,华电国际,2.33,2.08,3.4128,0.1644,7.903,8.7906,30.0758,2.9237,22.2298,-63.1551,-5.6985,-4.6805,-72.093,1.7552,0.4723,0.4282,14.1898,160.6379,38.614,61.386,0.0771,0.0276,3.3833,0.0449,9.9686,0
600028,中国石化,7.78,2.98,19.9352,0.4946,16.5468,36.7065,9.1655,3.8524,28.8645,134.7166,4.7675,4.8847,155.1546,5.5085,0.9166,0.606,31.9758,1392.1158,48.2713,51.7287,0.0578,0.0613,1.5897,0.1185,18.1429,0
600031,三一重工,19.58,14.32,27.3173,1.4797,10.3292,3.9503,3.4446,0.9474,20.3399,0.9877,20.4001,13.9004,1.187,20.268,1.586,1.2845,44.706,-6989.339,48.3899,51.6101,0.1167,0.0749,0.796,0.1452,17.3147,0
600033,福建高速,6.94,32.02,62.923,0.2599,0.8117,3.235,52.6987,1.5113,46.8082,171.7723,5.4334,4.2358,187.1823,6.2205,0.8883,0.8817,45.6607,1715.5148,75.5693,24.4307,0.7522,0.1002,1.8486,0.4103,83.2869,0
600035,楚天高速,9.11,26.4,51.4471,0.3892,1.4742,4.7267,6.0325,1.3775,49.2819,131.4243,8.4213,-4.5293,143.75,9.0572,0.7614,0.6929,41.8008,539.7079,49.3562,50.6438,0.4537,0.0681,1.6433,0.1346,42.9629,0
600037,歌华有线,0.63,4.67,12.5269,0.0577,1.2353,3.8858,3.9933,0.1955,-1.119,-46.9228,0.294,-0.6629,-46.9181,0.294,5.318,5.1182,388.9212,8.5482,80.8312,19.1688,0.2939,0.0322,6.2898,0.1677,31.2728,0
600038,中直股份,6.67,4.36,11.9355,1.0501,24.0785,4.0318,0.8132,0.6111,16.4659,26.1534,8.5941,1.2444,26.2108,8.9128,1.4771,0.4962,12.6921,-27788.1106,36.1833,63.8167,-0.0456,-0.0245,-1.0638,-0.0384,-4.1167,1
600039,四川路桥,13.77,6.67,15.0798,0.7266,10.8935,4.5311,15.2419,0.8813,40.8651,107.0316,44.2328,12.971,56.5733,45.8218,1.1512,1.0793,22.845,355.6833,22.6985,77.3015,0.0005,0.0002,0.0071,0.0003,0.0478,0
600048,保利发展,7.35,9.81,29.7845,1.1347,11.561,48.0894,0.1229,0.1153,17.8725,5.9418,22.0282,21.9516,1.8018,11.5126,1.5782,0.5301,16.4926,979.1266,22.068,77.932,-0.1355,-0.0134,-0.9659,-0.0172,-2.3413,0
600050,中国联通,3.77,2.32,25.4307,0.1831,7.8889,10.1642,70.202,2.024,8.4907,19.1953,2.0757,3.1454,20.1299,2.2298,0.5741,0.5601,16.8121,23910.1994,56.992,43.008,0.3251,0.1346,6.1493,0.313,34.3286,0
600051,宁波联合,3.98,7.07,12.1826,0.3855,5.4491,9.0143,0.5518,0.3269,-50.7394,-77.8423,0.1073,-7.91,-65.0362,1.9235,1.4726,0.6871,43.5525,11145.941,45.5835,54.4165,-0.2048,-0.0497,-3.6746,-0.0913,-10.0531,1
600052,东望时代,0.59,35.5,37.8887,0.024,0.0676,1.4954,0.3566,0.0244,-67.6583,103.2938,0.3362,-5.2225,100.0,-1.1035,19.1944,18.0631,1669.4738,264.3642,93.0255,6.9745,-3.8198,-0.0589,-9.5385,-0.844,-193.4694,0
600053,九鼎投资,2.34,45.82,95.4193,0.1484,0.3238,1.5356,0.004,0.0697,-48.9033,-51.7982,-0.1491,-6.8101,-50.5828,0.1741,4.4387,0.8601,52.6053,440.6503,83.7487,16.2513,0.3333,0.014,0.7542,0.0864,10.3373,1
