date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,9.9,10.11,10.05,9.87,64160.19,0.1,1.0,9.882,9.69,9.745,47154.11,46045.51,55421.4,0.87
2020-02-21,10.07,10.13,10.07,10.0,41643.02,0.02,0.2,9.952,9.774,9.713,48083.83,45866.27,53617.47,0.56
2020-02-24,10.07,10.07,9.83,9.81,73100.15,-0.24,-2.38,9.948,9.808,9.687,53524.0,48174.19,54511.17,0.99
2020-02-25,9.61,9.67,9.52,9.38,87335.66,-0.31,-3.15,9.884,9.813,9.642,63279.29,53483.73,57194.66,1.18
2020-02-26,9.39,9.62,9.5,9.35,65709.09,-0.02,-0.21,9.794,9.796,9.614,66389.62,54741.58,57377.02,0.89
2020-02-27,9.57,9.73,9.59,9.48,54177.98,0.09,0.95,9.702,9.792,9.586,64393.18,55773.64,57871.14,0.73
2020-02-28,9.36,9.46,9.23,9.23,61423.57,-0.36,-3.75,9.534,9.743,9.56,68349.29,58216.56,57762.07,0.83
2020-03-02,9.3,9.7,9.65,9.28,74582.4,0.42,4.55,9.498,9.723,9.602,68645.74,61084.87,54710.35,1.01
2020-03-03,9.78,9.86,9.68,9.63,80596.34,0.03,0.31,9.53,9.707,9.627,67297.88,65288.59,55253.6,1.09
2020-03-04,9.66,10.19,10.07,9.61,101212.76,0.39,4.03,9.644,9.719,9.667,74398.61,70394.12,57265.84,1.37
2020-03-05,10.08,10.11,10.04,9.94,79510.75,-0.03,-0.3,9.734,9.718,9.704,79465.16,71929.17,58987.34,1.07
2020-03-06,9.92,10.04,9.91,9.87,69537.64,-0.13,-1.29,9.87,9.702,9.738,81087.98,74718.63,60292.45,0.94
2020-03-09,9.8,9.8,9.42,9.42,74658.98,-0.49,-4.95,9.824,9.661,9.735,81103.29,74874.52,61524.35,1.01
2020-03-10,9.34,9.63,9.6,9.33,46915.23,0.18,1.91,9.808,9.669,9.741,74367.07,70832.47,62158.1,0.63
2020-03-11,9.63,9.76,9.5,9.5,41531.65,-0.1,-1.04,9.694,9.669,9.733,62430.85,68414.73,61578.16,0.56
2020-03-12,9.35,9.45,9.19,9.18,74317.97,-0.31,-3.26,9.524,9.629,9.711,61392.29,70428.73,63101.19,1.0
2020-03-13,8.83,9.17,9.14,8.78,65935.43,-0.05,-0.54,9.37,9.62,9.682,60671.85,70879.92,64548.24,0.89
2020-03-16,9.39,9.52,9.05,9.01,88706.58,-0.09,-0.98,9.296,9.56,9.642,63481.37,72292.33,66688.6,1.2
2020-03-17,9.18,9.33,9.22,9.03,75689.49,0.17,1.88,9.22,9.514,9.611,69236.22,71801.65,68545.12,1.02
2020-03-18,9.36,9.48,9.06,9.06,81917.96,-0.16,-1.74,9.132,9.413,9.566,77313.49,69872.17,70133.14,1.11
2020-03-19,9.1,9.25,9.19,9.01,62343.38,0.13,1.44,9.132,9.328,9.523,74918.57,68155.43,70042.3,0.84
2020-03-20,9.28,9.33,9.25,9.12,51474.3,0.06,0.65,9.154,9.262,9.482,72026.34,66349.1,70533.87,0.7
2020-03-23,9.07,9.15,9.01,8.91,48344.86,-0.24,-2.6,9.146,9.221,9.441,63954.0,63717.69,69296.1,0.65
2020-03-24,9.1,9.25,9.18,9.05,44194.29,0.17,1.89,9.138,9.179,9.424,57654.96,63445.59,67139.03,0.6
2020-03-25,9.37,9.37,9.23,9.18,62838.57,0.05,0.55,9.172,9.152,9.411,53839.08,65576.28,66995.51,0.85
2020-03-26,9.19,9.2,9.1,9.02,56645.75,-0.13,-1.41,9.154,9.143,9.386,52699.55,63809.06,67118.9,0.77
2020-03-27,9.21,9.25,9.16,9.12,81632.24,0.06,0.66,9.136,9.145,9.383,58731.14,65378.74,68129.33,1.1
2020-03-30,9.1,9.21,9.15,8.98,59481.98,-0.01,-0.11,9.164,9.155,9.358,60958.57,62456.28,67374.31,0.8
2020-03-31,9.21,9.31,9.22,9.13,62531.71,0.07,0.77,9.172,9.155,9.335,64626.05,61140.5,66471.08,0.84
2020-04-01,9.23,9.31,9.22,9.16,61977.66,0.0,0.0,9.17,9.171,9.292,64453.87,59146.47,64509.32,0.84
2020-04-02,9.17,9.26,9.26,9.07,52688.43,0.04,0.43,9.202,9.178,9.253,63662.4,58180.98,63168.21,0.71
2020-04-03,9.24,9.25,9.19,9.14,39026.03,-0.07,-0.76,9.208,9.172,9.217,55141.16,56936.15,61642.62,0.53
2020-04-07,9.27,9.46,9.42,9.25,98263.66,0.23,2.5,9.262,9.213,9.217,62897.5,61928.03,62822.86,1.33
2020-04-08,9.38,9.48,9.46,9.32,83156.35,0.04,0.42,9.31,9.241,9.21,67022.43,65824.24,64634.91,1.12
2020-04-09,9.5,9.54,9.42,9.4,51409.59,-0.04,-0.42,9.35,9.26,9.206,64908.81,64681.34,65128.81,0.69
2020-04-10,9.43,9.46,9.24,9.19,58425.34,-0.18,-1.91,9.346,9.274,9.209,66056.19,64859.3,64334.18,0.79
2020-04-13,9.27,9.75,9.58,9.27,154699.81,0.34,3.68,9.424,9.316,9.231,89190.95,72166.06,68772.4,2.09
2020-04-14,9.5,9.7,9.68,9.5,88775.25,0.1,1.04,9.476,9.369,9.262,87293.27,75095.38,68775.83,1.2
2020-04-15,9.68,9.7,9.5,9.48,80127.66,-0.18,-1.86,9.484,9.397,9.276,86687.53,76854.98,68997.74,1.08
2020-04-16,9.46,9.52,9.5,9.41,51665.3,0.0,0.0,9.5,9.425,9.298,86738.67,75823.74,67485.11,0.7
