date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,9.3,9.65,9.62,9.15,304501.38,0.28,3.0,9.418,9.176,9.152,248308.96,225347.8,202723.32,2.52
2020-02-21,10.58,10.58,10.58,10.31,592826.25,0.96,9.98,9.664,9.386,9.177,323170.22,265008.17,217958.03,4.9
2020-02-24,10.56,11.0,10.85,10.43,889067.5,0.27,2.55,9.942,9.594,9.215,450728.67,332006.93,253056.11,7.34
2020-02-25,10.31,10.71,10.51,10.13,513170.22,-0.34,-3.13,10.18,9.74,9.241,507270.71,359463.3,271023.62,4.24
2020-02-26,10.19,10.36,9.99,9.97,390811.19,-0.52,-4.95,10.31,9.827,9.262,538075.31,380474.86,280156.37,3.23
2020-02-27,10.0,10.24,10.02,9.92,250567.59,0.03,0.3,10.39,9.904,9.281,527288.55,387798.75,284732.2,2.07
2020-02-28,9.65,9.84,9.32,9.31,291059.28,-0.7,-6.99,10.138,9.901,9.287,466935.16,395052.69,290617.08,2.4
2020-03-02,9.57,9.89,9.79,9.45,227167.19,0.47,5.04,9.926,9.934,9.362,334555.09,392641.88,300778.34,1.88
2020-03-03,10.0,10.18,9.9,9.8,233037.62,0.11,1.12,9.804,9.992,9.457,278528.57,392899.64,301035.5,1.93
2020-03-04,9.83,9.97,9.97,9.72,165045.67,0.07,0.71,9.8,10.055,9.549,233375.47,385725.39,299677.3,1.36
2020-03-05,10.18,10.22,10.14,9.94,259458.56,0.17,1.71,9.824,10.107,9.642,235153.66,381221.11,303284.45,2.14
2020-03-06,10.08,10.35,10.23,9.92,273494.28,0.09,0.89,10.006,10.072,9.729,231640.66,349287.91,307148.04,2.26
2020-03-09,10.04,10.3,9.95,9.92,209077.23,-0.28,-2.74,10.038,9.982,9.788,228022.67,281288.88,306647.9,1.73
2020-03-10,9.78,10.1,10.1,9.38,284571.88,0.15,1.51,10.078,9.941,9.841,238329.52,258429.05,308946.17,2.35
2020-03-11,10.16,10.31,9.92,9.92,230023.64,-0.18,-1.78,10.068,9.934,9.881,251325.12,242350.29,311412.58,1.9
2020-03-12,9.72,9.95,9.75,9.59,160139.36,-0.17,-1.71,9.99,9.907,9.906,231461.28,233307.47,310553.11,1.32
2020-03-13,9.35,9.73,9.53,9.19,192206.19,-0.22,-2.26,9.85,9.928,9.915,215203.66,223422.16,309237.43,1.59
2020-03-16,9.6,9.61,8.94,8.86,192782.91,-0.59,-6.19,9.648,9.843,9.889,211944.8,219983.73,306312.81,1.59
2020-03-17,9.03,9.18,8.97,8.7,131204.8,0.03,0.34,9.422,9.75,9.871,181271.38,209800.45,301350.05,1.08
2020-03-18,9.06,9.11,8.65,8.62,136618.28,-0.32,-3.57,9.168,9.618,9.837,162590.31,206957.71,296341.55,1.13
2020-03-19,8.65,8.89,8.87,8.55,124482.24,0.22,2.54,8.992,9.491,9.799,155458.88,193460.08,287340.59,1.03
2020-03-20,8.96,9.01,8.95,8.72,93446.64,0.08,0.9,8.876,9.363,9.718,135706.97,175455.32,262371.61,0.77
2020-03-23,8.69,8.89,8.64,8.6,87313.71,-0.31,-3.46,8.816,9.232,9.607,114613.13,163278.97,222283.92,0.72
2020-03-24,8.81,8.94,8.89,8.62,103017.67,0.25,2.89,8.8,9.111,9.526,108975.71,145123.54,201776.3,0.85
2020-03-25,9.03,9.06,8.92,8.85,128111.84,0.03,0.34,8.854,9.011,9.473,107274.42,134932.36,188641.33,1.06
2020-03-26,8.86,8.89,8.65,8.64,114380.87,-0.27,-3.03,8.81,8.901,9.404,105254.15,130356.52,181831.99,0.94
2020-03-27,8.78,8.89,8.7,8.67,80639.65,0.05,0.58,8.76,8.818,9.373,102692.75,119199.86,171311.01,0.67
2020-03-30,8.71,8.72,8.47,8.42,102970.25,-0.23,-2.64,8.726,8.771,9.307,105824.06,110218.6,165101.16,0.85
2020-03-31,8.59,8.6,8.55,8.47,54623.17,0.08,0.94,8.658,8.729,9.24,96145.16,102560.43,156180.44,0.45
2020-04-01,8.47,8.62,8.39,8.36,77595.52,-0.16,-1.87,8.552,8.703,9.161,86041.89,96658.16,151807.93,0.64
2020-04-02,8.36,8.53,8.53,8.31,73529.88,0.14,1.67,8.528,8.669,9.08,77871.69,91562.92,142511.5,0.61
2020-04-03,8.52,8.6,8.52,8.42,75975.06,-0.01,-0.12,8.492,8.626,8.995,76938.78,89815.76,132635.54,0.63
2020-04-07,8.64,8.73,8.73,8.6,104292.35,0.21,2.46,8.544,8.635,8.934,77203.2,91513.63,127396.3,0.86
2020-04-08,8.75,8.88,8.8,8.69,108523.85,0.07,0.8,8.594,8.626,8.869,87983.33,92064.24,118593.89,0.9
2020-04-09,8.86,9.03,8.91,8.81,98090.73,0.11,1.25,8.698,8.625,8.818,92082.37,89062.13,111997.25,0.81
2020-04-10,8.9,8.95,8.74,8.67,92434.44,-0.17,-1.91,8.74,8.634,8.768,95863.29,86867.49,108612.0,0.76
2020-04-13,8.69,8.77,8.75,8.61,45433.66,0.01,0.11,8.786,8.639,8.729,89755.01,83346.89,101273.38,0.38
2020-04-14,8.77,8.88,8.87,8.74,74995.19,0.12,1.37,8.814,8.679,8.725,83895.57,80549.39,95383.99,0.62
2020-04-15,8.91,8.92,8.74,8.73,69206.54,-0.13,-1.47,8.802,8.698,8.714,76032.11,82007.72,92284.08,0.57
2020-04-16,8.64,9.61,9.61,8.63,336616.19,0.87,9.95,8.942,8.82,8.762,123737.2,107909.79,102283.97,2.78
2020-04-17,9.59,9.76,9.47,9.42,345801.88,-0.14,-1.46,9.088,8.914,8.792,174410.69,135136.99,113349.95,2.86
2020-04-20,9.44,9.63,9.46,9.41,153697.31,-0.01,-0.11,9.23,9.008,8.817,196063.42,142909.21,116362.49,1.27
2020-04-21,9.4,9.93,9.72,9.38,302133.88,0.26,2.75,9.4,9.107,8.871,241491.16,162693.37,127103.5,2.5
2020-04-22,9.6,9.81,9.79,9.55,191782.88,0.07,0.72,9.61,9.206,8.916,266006.43,171019.27,131541.76,1.58
2020-04-23,9.79,9.79,9.51,9.47,141010.23,-0.28,-2.86,9.59,9.266,8.946,226885.24,175311.22,132186.68,1.16
2020-04-24,9.47,10.25,9.9,9.38,246180.23,0.39,4.1,9.676,9.382,9.008,206960.91,190685.8,138776.64,2.03
2020-04-27,9.88,9.98,9.92,9.56,224173.73,0.02,0.2,9.768,9.499,9.069,221056.19,208559.81,145953.35,1.85
2020-04-28,10.0,10.17,9.8,9.66,253400.16,-0.12,-1.21,9.784,9.592,9.136,211309.45,226400.3,153474.84,2.09
2020-04-29,9.7,9.7,9.45,9.44,163051.08,-0.35,-3.57,9.716,9.663,9.181,205563.09,235784.76,158896.24,1.35
2020-04-30,9.32,9.65,9.55,9.32,199160.61,0.1,1.06,9.724,9.657,9.239,217193.16,222039.2,164974.49,1.65
2020-05-06,9.4,9.59,9.55,9.39,129936.19,0.0,0.0,9.654,9.665,9.29,193944.35,200452.63,167794.81,1.07
2020-05-07,9.55,9.58,9.42,9.41,101672.04,-0.13,-1.36,9.554,9.661,9.335,169444.02,195250.1,169079.66,0.84
2020-05-08,9.48,9.63,9.53,9.43,139633.94,0.11,1.17,9.5,9.642,9.375,146690.77,179000.11,170846.74,1.15
2020-05-11,9.66,10.08,9.72,9.63,251083.08,0.19,1.99,9.554,9.635,9.421,164297.17,184930.13,177974.7,2.07
2020-05-12,9.65,9.73,9.57,9.4,141705.12,-0.15,-1.54,9.558,9.641,9.454,152806.07,184999.62,180155.42,1.17
2020-05-13,9.5,9.56,9.56,9.4,71650.24,-0.01,-0.1,9.56,9.607,9.495,141148.88,167546.62,179116.21,0.59
2020-05-14,9.56,9.86,9.58,9.46,166038.45,0.02,0.21,9.592,9.573,9.536,154022.17,161733.09,185146.45,1.37
